Run,Architecture,Latency,Throughput,CPU,Memory
1,Blocking,42.1,1200,45,512
2,Blocking,41.8,1198,44,510
3,Blocking,42.0,1201,46,515
4,Blocking,42.2,1202,45,513
5,Blocking,41.9,1199,44,512
6,Blocking,42.0,1200,45,514
7,Blocking,42.1,1201,46,512
8,Blocking,42.0,1200,44,513
9,Blocking,42.2,1203,45,511
10,Blocking,41.9,1198,44,510
1,Async,Latency,Throughput,CPU,Memory
1,Async,31.0,1400,35,480
2,Async,30.8,1398,36,482
3,Async,31.2,1401,35,481
4,Async,30.9,1399,36,480
5,Async,31.1,1402,35,482
6,Async,31.0,1400,36,481
7,Async,30.9,1399,35,480
8,Async,31.1,1401,36,481
9,Async,31.0,1400,35,480
10,Async,30.8,1398,36,482
1,Reactive,Latency,Throughput,CPU,Memory
1,Reactive,18.2,1800,25,450
2,Reactive,18.1,1798,26,451
3,Reactive,18.3,1801,25,452
4,Reactive,18.2,1800,25,450
5,Reactive,18.1,1799,26,451
6,Reactive,18.2,1800,25,452
7,Reactive,18.3,1802,26,450
8,Reactive,18.2,1801,25,451
9,Reactive,18.1,1799,26,450
10,Reactive,18.2,1800,25,452
